job_title,industry,company_size,connections,bio,recent_activity,has_website,posts_per_month,years_experience,reply_probability,label,label_encoded
VP Sales,E-commerce,1-10,1946,Focused on pipeline and lead gen. Passionate about lead gen.,Shared a cold email template,0,19,11,0.71,hot,2
Recruiter,Non-profit,201-500,185,Focused on coding and operations. Passionate about operations.,Updated profile picture,0,0,4,0.04,cold,0
Recruiter,Government,1000+,677,Focused on student and data. Passionate about operations.,Liked a job posting,0,1,7,0.08,cold,0
Founder,SaaS,1-10,3837,Focused on cold outreach and outbound. Passionate about outbound.,Posted about LinkedIn outreach tips,1,15,12,0.67,hot,2
CRO,B2B Tech,1-10,3252,Focused on growth hacking and pipeline. Passionate about pipeline.,Published article on B2B lead gen,0,9,13,0.7,hot,2
Head of Marketing,Consulting,11-50,1069,Focused on strategy and campaigns. Passionate about marketing.,Commented on growth post,1,3,11,0.47,warm,1
Director of Growth,E-commerce,51-200,2853,Focused on B2B sales and revenue. Passionate about lead gen.,Shared revenue milestone,1,15,4,0.57,hot,2
Recruiter,Education,501-1000,608,Focused on coding and engineering. Passionate about data.,No posts in 90 days,0,2,5,0.1,cold,0
CRO,Fintech,11-50,721,Focused on B2B sales and lead gen. Passionate about lead gen.,Published article on B2B lead gen,1,15,5,0.63,hot,2
Head of Marketing,Digital Marketing,11-50,368,Focused on strategy and digital. Passionate about business development.,Liked a marketing strategy post,0,4,12,0.32,warm,1
Head of Sales,SaaS,1-10,1229,Focused on GTM and scaling. Passionate about growth hacking.,Shared revenue milestone,1,8,11,0.84,hot,2
Founder,SaaS,11-50,4440,Focused on cold outreach and growth hacking. Passionate about revenue.,Shared revenue milestone,1,10,3,0.76,hot,2
Co-Founder,SaaS,11-50,1714,Focused on cold outreach and revenue. Passionate about scaling.,Shared revenue milestone,1,14,11,0.86,hot,2
Software Engineer,Manufacturing,501-1000,196,Focused on learning and student. Passionate about coding.,Updated profile picture,0,2,7,0.01,cold,0
Marketing Manager,Consulting,51-200,1186,Focused on digital and marketing. Passionate about marketing.,Liked a marketing strategy post,1,3,9,0.31,warm,1
Head of Marketing,Retail Tech,51-200,1099,Focused on strategy and digital. Passionate about partnerships.,Liked a marketing strategy post,1,8,3,0.38,warm,1
Co-Founder,Fintech,51-200,345,Focused on cold outreach and B2B sales. Passionate about outbound.,Posted about LinkedIn outreach tips,1,11,3,0.87,hot,2
Head of Marketing,Insurance,11-50,693,Focused on business development and partnerships. Passionate about partnerships.,Liked a marketing strategy post,0,6,3,0.22,warm,1
Director of Growth,E-commerce,51-200,1540,Focused on scaling and pipeline. Passionate about cold outreach.,Shared revenue milestone,1,18,4,0.76,hot,2
VP Sales,Marketing Tech,1-10,3162,Focused on outbound and GTM. Passionate about GTM.,Published article on B2B lead gen,1,8,5,0.61,hot,2
Head of Sales,Marketing Tech,1-10,3400,Focused on growth hacking and scaling. Passionate about lead gen.,Posted about LinkedIn outreach tips,1,15,3,0.82,hot,2
